13dx,13dy,13dz
7.0452448715577e-05,2.7981298090896e-05,1.2116581720401e-05
7.0771016095095e-05,2.9161580012427e-05,1.2628177199936e-05
7.1067404987357e-05,3.0356425765765e-05,1.3146089358429e-05
7.1341127788435e-05,3.156547657146e-05,1.3670161569612e-05
7.1591698593415e-05,3.2788356925773e-05,1.42002304237e-05
7.1818632496778e-05,3.4024677922573e-05,1.4736127335269e-05
7.2021445896381e-05,3.5274040991906e-05,1.5277680195769e-05
7.2199657959793e-05,3.6536041233992e-05,1.5824714688584e-05
7.2352793091091e-05,3.7810269520877e-05,1.6377054931183e-05
7.2480383943752e-05,3.9096312827058e-05,1.6934523280832e-05
7.2581974385949e-05,4.0393752720469e-05,1.7496939361095e-05
7.2657121793662e-05,4.1702162529411e-05,1.8064118617822e-05
7.2705398332595e-05,4.3021103940832e-05,1.8635870777217e-05
7.2726391141087e-05,4.4350123843961e-05,1.9211998559976e-05
7.2719701575241e-05,4.5688752038808e-05,1.9792296884924e-05
7.2684943813461e-05,4.7036500125164e-05,2.0376552647638e-05
7.2621743158252e-05,4.8392861628277e-05,2.0964545043523e-05
7.2529734347293e-05,4.9757313229981e-05,2.1556046329696e-05
7.2408560135129e-05,5.1129316836929e-05,2.2150822877876e-05
7.2257870340597e-05,5.2508322166411e-05,2.2748636359315e-05
7.2077321489505e-05,5.3893769500712e-05,2.3349244906157e-05
7.186657711522e-05,5.5285092282586e-05,2.3952404116456e-05
7.1625308713519e-05,5.6681719249885e-05,2.4557867791986e-05
7.1353197281299e-05,5.8083075871518e-05,2.5165388333415e-05
7.1049935301493e-05,5.9488584933765e-05,2.5774716764293e-05
7.0715228980556e-05,6.08976662404e-05,2.6385602399648e-05
7.0348800506215e-05,6.2309735413546e-05,2.6997792192451e-05
6.99503900633e-05,6.3724202053805e-05,2.761102988541e-05
6.951975734637e-05,6.5140467443547e-05,2.8225055068887e-05
6.9056682330704e-05,6.6557922146826e-05,2.8839602295605e-05
6.8560965133302e-05,6.7975943952026e-05,2.9454400423012e-05
6.8032424907383e-05,6.9393896549919e-05,3.0069172319735e-05
6.7470897854749e-05,7.08111293235e-05,3.0683635047823e-05
6.687623465762e-05,7.2226978496515e-05,3.1297500566629e-05
6.6248297843075e-05,7.364076962979e-05,3.1910476895491e-05
6.5586959717701e-05,7.5051821110894e-05,3.2522269551527e-05
6.4892101475422e-05,7.6459447979849e-05,3.3132582982542e-05
6.4163613840096e-05,7.7862965272235e-05,3.3741121692021e-05
6.3401399192697e-05,7.9261690140386e-05,3.4347590821326e-05
6.2605374691382e-05,8.0654942358316e-05,3.4951696110896e-05
6.1775475681758e-05,8.2042043332065e-05,3.5553143346578e-05
6.0911658708029e-05,8.3422314058446e-05,3.6151637502368e-05
6.0013903566358e-05,8.479507261383e-05,3.6746881813376e-05
5.9082214230455e-05,8.6159631800475e-05,3.7338576996171e-05
5.8116618625426e-05,8.7515297353624e-05,3.7926420739798e-05
5.7117167442167e-05,8.8861366968951e-05,3.8510107528034e-05
5.608393226042e-05,9.0197130233727e-05,3.9089328793596e-05
5.5017003291025e-05,9.1521869428512e-05,3.9663773363341e-05
5.391648704911e-05,9.2834861072588e-05,4.0233128132505e-05
5.2782504257998e-05,9.4135378031157e-05,4.0797078890431e-05
5.1615188256693e-05,9.5422691954172e-05,4.1355311212327e-05
5.0414684128586e-05,9.6696075787994e-05,4.1907511332567e-05
4.9181148706445e-05,9.7954806096756e-05,4.2453366913803e-05
4.7914751506228e-05,9.9198164937309e-05,4.2992567640759e-05
4.6615676528194e-05,0.00010042544107547,4.3524805582312e-05
4.528412473459e-05,0.00010163593040224,4.4049775290905e-05
4.3920316888268e-05,0.00010282893550928,4.4567173641263e-05
4.2524496362883e-05,0.00010400376448105,4.5076699438623e-05
4.1096931400975e-05,0.00010515972914926,4.5578052879441e-05
3.9637916467883e-05,0.00010629614303609,4.6070934940967e-05
3.8147772266073e-05,0.00010741231945349,4.6555046839952e-05
3.6626844266641e-05,0.00010850757018993,4.7030089688482e-05
3.5075499909665e-05,0.00010958120512528,4.749576444521e-05
3.3494124893063e-05,0.00011063253304699,4.7951772238819e-05
3.1883119294585e-05,0.00011166086366654,4.8397815060108e-05
3.0242894410004e-05,0.0001126655105213,4.8833596726611e-05
2.8573871039494e-05,0.0001136457942138,4.9258823954845e-05
2.6876479589877e-05,0.00011460104536237,4.9673207353218e-05
2.5151161876957e-05,0.00011553060673436,5.0076462173254e-05
2.3398374100925e-05,0.00011643383427179,5.0468308728929e-05
2.1618590249406e-05,0.00011731009702876,5.0848472482212e-05
1.9812305218747e-05,0.00011815877628246,5.1216683866359e-05
1.7980037148702e-05,0.0001189792641062,5.1572677925549e-05
1.6122328662216e-05,0.00011977096174742,5.191619386867e-05
1.4239746911393e-05,0.0001205332781741,5.2246974643053e-05
1.2332882513788e-05,0.00012126562892539,5.2564766569591e-05
1.0402347545124e-05,0.00012196743546622,5.2869319104032e-05
8.4487728445604e-06,0.00012263812511998,5.3160384754794e-05
6.4728049500307e-06,0.00012327713161242,5.3437719181856e-05
4.4751030137125e-06,0.00012388389620679,5.3701081487542e-05
2.4563360759844e-06,0.00012445786935222,5.3950234694691e-05
4.1718106147393e-07,0.00012499851270648,5.418494638941e-05
-1.6416781853934e-06,0.00012550530133361,5.4404989481997e-05
-3.7195506439325e-06,0.0001259777258304,5.4610143016234e-05
-5.8157366179534e-06,0.00012641529411317,5.4800192937847e-05
-7.929525199013e-06,0.00012681753261896,5.4974932724165e-05
-1.0060191101391e-05,0.00012718398673885,5.5134163783346e-05
-1.2206991460206e-05,0.00012751422041331,5.5277695556712e-05
-1.4369163240047e-05,0.00012780781495934,5.5405345300972e-05
-1.6545921873168e-05,0.0001280643673424,5.5516937580911e-05
-1.8736461522062e-05,0.00012828348823745,5.5612303567155e-05
-2.0939957134036e-05,0.0001284648002896,5.569128027654e-05
-2.3155567977273e-05,0.0001286079369864,5.5753709932476e-05
-2.5382442040867e-05,0.00012871254244079,5.5799439606586e-05
-2.7619720483152e-05,0.00012877827220273,5.5828321251283e-05
-2.9866541239709e-05,0.0001288047949809,5.5840212150444e-05
-3.2122041150551e-05,0.00012879179495077,5.5834975716013e-05
-3.4385356362243e-05,0.00012873897422261,5.5812482485686e-05
-3.66556211574e-05,0.00012864605505478,5.5772611147281e-05
-3.8931965656741e-05,0.00012851278150219,5.5715249429864e-05
-4.121351298858e-05,0.00012833892033651,5.564029474571e-05
-4.3499376512712e-05,0.00012812426122011,5.5547654523286e-05
-4.5788657559998e-05,0.0001278686162155,5.5437246222201e-05
-4.8080443991183e-05,0.00012757181876602,5.5308997056372e-05
-5.0373809799442e-05,0.00012723372232493,5.5162843477841e-05
-5.2667815814589e-05,0.00012685419881808,5.499873049189e-05
-5.4961511426033e-05,0.00012643313711774,5.4816610889644e-05
-5.7253937228219e-05,0.00012597044172474,5.4616444492062e-05
-5.9544128320876e-05,0.00012546603184604,5.4398197516028e-05
-6.1831117919131e-05,0.00012491984104301,5.4161842173772e-05
-6.4113940830723e-05,0.0001243318175706,5.3907356599714e-05
-6.639163630906e-05,0.0001237019254583,5.3634725171808e-05
-6.8663249823908e-05,0.00012303014626397,5.3343939232786e-05
-7.0927833422219e-05,0.00012231648128541,5.3034998135915e-05
-7.3184444598029e-05,0.00012156095388721,5.2707910458888e-05
-7.5432143901488e-05,0.00012076361152924,5.2362695169672e-05
-7.7669991793483e-05,0.00011992452709714,5.1999382510826e-05
-7.9897045458188e-05,0.00011904379923994,5.161801440759e-05
-8.2112356308617e-05,0.00011812155161017,5.1218644292639e-05
-8.4314968796351e-05,0.00011715793112371,5.0801336363621e-05
-8.6503920853409e-05,0.00011615310554219,5.0366164399351e-05
-8.8678245965812e-05,0.00011510726082464,4.9913210360075e-05
-9.0836976537889e-05,0.00011402059875465,4.9442563047536e-05
-9.2979147949368e-05,0.0001128933352621,4.8954317077382e-05
-9.5103802607244e-05,0.00011172569972284,4.8448572349175e-05
-9.7209993340175e-05,0.00011051793530314,4.7925434087687e-05
-9.9296785671443e-05,0.00010927030022201,4.7385013414836e-05
-0.0001013632587723,0.00010798306963644,4.6827428310858e-05
-0.00010340850515522,0.00010665653779041,4.6252804771163e-05
-0.00010543162935761,0.0001052910200684,4.5661277957271e-05
-0.00010743174597838,0.00010388685465412,4.5052993165318e-05
-0.00010940797745562,0.0001024444035812,4.4428106478478e-05
-0.00011135945195528,0.00010096405304727,4.3786785021593e-05
-0.00011328530167709,9.9446212945775e-05,4.3129206781067e-05
-0.00011518466183413,9.7891315640197e-05,4.24555599986e-05
-0.000117056670487,9.629981406345e-05,4.1766042183977e-05
-0.00011890046933982,9.4672179315802e-05,4.10608588437e-05
-0.00012071520552381,9.3008897999569e-05,4.0340222062452e-05
-0.00012250003423364,9.1310469632844e-05,3.9604349129641e-05
-0.00012425412200612,8.9577404520202e-05,3.8853461423072e-05
-0.00012597665017755,8.7810222505924e-05,3.8087783783392e-05
-0.00012766681797671,8.600945291648e-05,3.7307544541676e-05
